Unnamed: 0,id,file_name,Latex,name,path,data_source,tags
1.0,0,Data\GenData\45348833.png,\sum_{\alpha}^{\sin{b}}{\tan{+{\sin{\alpha}}}},45348833,,Datagen,train
2.0,1,Data\GenData\10474313.png,\sum_{\tan{-{+{\pi}}}}^{\prod_{x}^{\beta}{\prod_{\pi}^{e}{\alpha}}}{\ln{y}},10474313,,Datagen,train
3.0,2,Data\GenData\77236513.png,{\ln{{{2}\times{z}}-{\exp{\alpha}}}}_{\prod_{\binom{\pi}{\alpha}}^{\det{e}}{e}},77236513,,Datagen,train
4.0,3,Data\GenData\45582352.png,{\pi}\times{y},45582352,,Datagen,train
5.0,4,Data\GenData\58611711.png,\prod_{e}^{\pi}{{{y}\cdot{x}}\cdot{\alpha}},58611711,,Datagen,train
6.0,5,Data\GenData\53907529.png,\sum_{{2}-{2}}^{{\binom{1}{y}}+{y}}{\alpha},53907529,,Datagen,train
7.0,6,Data\GenData\06649828.png,{a}+{{x}\cdot{2}},06649828,,Datagen,train
8.0,7,Data\GenData\32404443.png,{x}+{\sin{\pi}},32404443,,Datagen,train
9.0,8,Data\GenData\56857325.png,{\binom{z}{\binom{1}{{\alpha}-{2}}}}_{{\log{{\beta}_{y}}}^{-{e}}},56857325,,Datagen,train
10.0,9,Data\GenData\10197112.png,\sum_{\pi}^{2}{{\det{b}}_{{x}\times{\det{\alpha}}}},10197112,,Datagen,train
11.0,10,Data\GenData\62014199.png,"\int_{e}^{\cos{\alpha}}{\prod_{2}^{{a}+{y}}{\sqrt{x}}}\,dx",62014199,,Datagen,train
12.0,11,Data\GenData\48439107.png,{x}\cdot{{{y}\times{1}}+{e}},48439107,,Datagen,train
13.0,12,Data\GenData\94176549.png,\sum_{2}^{{1}+{e}}{\beta},94176549,,Datagen,train
14.0,13,Data\GenData\32469401.png,"\prod_{{\int_{1}^{{2}\cdot{1}}{2}\,dx}\cdot{\beta}}^{z}{x}",32469401,,Datagen,train
15.0,14,Data\GenData\32664882.png,"\int_{+{+{{\alpha}\cdot{b}}}}^{\sqrt{+{e}}}{x}\,dx",32664882,,Datagen,train
16.0,15,Data\GenData\70333307.png,\binom{e}{a},70333307,,Datagen,train
17.0,16,Data\GenData\08182298.png,\sum_{\tan{\beta}}^{\beta}{a},08182298,,Datagen,train
18.0,17,Data\GenData\99847759.png,{\alpha}\cdot{x},99847759,,Datagen,train
19.0,18,Data\GenData\99482888.png,{y}_{b},99482888,,Datagen,train
20.0,19,Data\GenData\96230215.png,\prod_{a}^{x}{\beta},96230215,,Datagen,train
21.0,20,Data\GenData\62026435.png,"\int_{x}^{y}{x}\,dx",62026435,,Datagen,train
22.0,21,Data\GenData\30797904.png,"\int_{x}^{z}{x}\,dx",30797904,,Datagen,train
23.0,22,Data\GenData\78906010.png,{z}-{y},78906010,,Datagen,train
24.0,23,Data\GenData\60235396.png,{x}^{\pi},60235396,,Datagen,train
25.0,24,Data\GenData\37049957.png,{a}-{{1}-{{1}+{\log{e}}}},37049957,,Datagen,train
26.0,25,Data\GenData\41828191.png,\frac{2}{{2}\times{y}},41828191,,Datagen,train
27.0,26,Data\GenData\54944205.png,"\int_{y}^{\sqrt{1}}{\beta}\,dx",54944205,,Datagen,train
28.0,27,Data\GenData\18392061.png,\sum_{\sqrt{\exp{\pi}}}^{x}{b},18392061,,Datagen,train
29.0,28,Data\GenData\63942112.png,\sum_{{a}\cdot{1}}^{z}{\ln{\ln{2}}},63942112,,Datagen,train
30.0,29,Data\GenData\05468623.png,\sum_{2}^{x}{y},05468623,,Datagen,train
31.0,30,Data\GenData\13487834.png,{2}-{1},13487834,,Datagen,train
32.0,31,Data\GenData\19110533.png,\sum_{\beta}^{\beta}{y},19110533,,Datagen,train
33.0,32,Data\GenData\44707881.png,{-{1}}+{e},44707881,,Datagen,train
34.0,33,Data\GenData\62876736.png,{{-{y}}+{{b}-{x}}}_{\binom{\beta}{\sqrt{1}}},62876736,,Datagen,train
35.0,34,Data\GenData\30359455.png,"\int_{x}^{{z}\times{\alpha}}{\det{-{+{2}}}}\,dx",30359455,,Datagen,train
36.0,35,Data\GenData\35405953.png,{e}\cdot{\det{{1}_{1}}},35405953,,Datagen,train
37.0,36,Data\GenData\68901976.png,\binom{\alpha}{\pi},68901976,,Datagen,train
38.0,37,Data\GenData\80540140.png,\sum_{y}^{{{e}^{b}}_{\cos{{\pi}-{1}}}}{\alpha},80540140,,Datagen,train
39.0,38,Data\GenData\92316156.png,{b}_{z},92316156,,Datagen,train
40.0,39,Data\GenData\36268659.png,\sum_{\beta}^{\binom{\alpha}{z}}{\sqrt{\beta}},36268659,,Datagen,train
41.0,40,Data\GenData\91263325.png,{1}-{\pi},91263325,,Datagen,train
42.0,41,Data\GenData\82071094.png,{\pi}\times{\ln{{\sum_{x}^{\beta}{x}}-{a}}},82071094,,Datagen,train
43.0,42,Data\GenData\60899713.png,"\int_{\sum_{\log{{e}+{2}}}^{\sqrt{\alpha}}{a}}^{x}{\ln{{x}-{b}}}\,dx",60899713,,Datagen,train
44.0,43,Data\GenData\16150439.png,"\int_{\prod_{2}^{y}{\int_{\pi}^{y}{z}\,dx}}^{\sum_{\alpha}^{1}{{{\alpha}^{z}}-{{x}\times{\beta}}}}{x}\,dx",16150439,,Datagen,train
45.0,44,Data\GenData\10603390.png,{e}-{{\beta}^{\beta}},10603390,,Datagen,train
46.0,45,Data\GenData\12908079.png,{2}\times{\prod_{{a}^{{\alpha}_{y}}}^{2}{{\beta}\cdot{1}}},12908079,,Datagen,train
47.0,46,Data\GenData\79096789.png,"{2}+{{b}+{{\int_{e}^{2}{y}\,dx}\cdot{z}}}",79096789,,Datagen,train
48.0,47,Data\GenData\55176064.png,"\int_{\int_{\pi}^{\beta}{x}\,dx}^{z}{x}\,dx",55176064,,Datagen,train
49.0,48,Data\GenData\99550371.png,\prod_{\ln{{e}^{b}}}^{2}{x},99550371,,Datagen,train
50.0,49,Data\GenData\81001183.png,{\alpha}_{{+{y}}\cdot{\sin{\det{e}}}},81001183,,Datagen,train
51.0,50,Data\GenData\85477259.png,"{\int_{a}^{x}{1}\,dx}\times{a}",85477259,,Datagen,train
52.0,51,Data\GenData\34328037.png,"\sum_{\sum_{a}^{\prod_{\int_{1}^{\pi}{\alpha}\,dx}^{y}{1}}{\beta}}^{-{2}}{+{b}}",34328037,,Datagen,train
53.0,52,Data\GenData\36503532.png,\prod_{-{1}}^{1}{a},36503532,,Datagen,train
54.0,53,Data\GenData\05659365.png,{x}\times{e},05659365,,Datagen,train
55.0,54,Data\GenData\27243449.png,{\binom{\beta}{z}}^{-{\pi}},27243449,,Datagen,train
56.0,55,Data\GenData\48546747.png,\sum_{\binom{\pi}{a}}^{\sin{a}}{z},48546747,,Datagen,train
57.0,56,Data\GenData\29147756.png,"\int_{{2}-{{\alpha}^{{x}\cdot{1}}}}^{\alpha}{\beta}\,dx",29147756,,Datagen,train
58.0,57,Data\GenData\74909431.png,{\binom{\alpha}{\alpha}}-{\alpha},74909431,,Datagen,train
59.0,58,Data\GenData\25294873.png,"\int_{e}^{a}{\tan{\exp{\binom{x}{b}}}}\,dx",25294873,,Datagen,train
60.0,59,Data\GenData\36233221.png,"\sum_{y}^{\int_{{\sqrt{1}}\cdot{b}}^{\alpha}{\int_{1}^{a}{{1}\cdot{\alpha}}\,dx}\,dx}{y}",36233221,,Datagen,train
61.0,60,Data\GenData\97022056.png,\sum_{x}^{\prod_{\cos{y}}^{\prod_{\pi}^{\beta}{y}}{2}}{a},97022056,,Datagen,train
62.0,61,Data\GenData\54495989.png,\sum_{2}^{z}{y},54495989,,Datagen,train
63.0,62,Data\GenData\65739301.png,{z}_{x},65739301,,Datagen,train
64.0,63,Data\GenData\50786026.png,{y}\times{\pi},50786026,,Datagen,train
65.0,64,Data\GenData\41033297.png,\prod_{{\pi}+{+{{x}\cdot{\pi}}}}^{y}{\cos{\sum_{{b}\cdot{z}}^{z}{z}}},41033297,,Datagen,train
66.0,65,Data\GenData\63734440.png,"\sum_{a}^{\beta}{\int_{\tan{-{a}}}^{z}{{y}-{\ln{1}}}\,dx}",63734440,,Datagen,train
67.0,66,Data\GenData\15926970.png,{\sin{{2}-{\frac{\alpha}{e}}}}^{\ln{\pi}},15926970,,Datagen,train
